,FRAUD_DECILE,level_1,min,max,final_score
69,70,score_rf,5.877179808344946e-10,6.027843171656576e-10,0.9299999999999999
70,71,score_rf,5.732359479062095e-10,5.877175367236288e-10,0.929
71,72,score_rf,5.594556824037288e-10,5.73233674509231e-10,0.928
72,73,score_rf,5.461517073981812e-10,5.594547242016466e-10,0.927
73,74,score_rf,5.332887184295204e-10,5.461515522257964e-10,0.926
74,75,score_rf,5.208212470262544e-10,5.332885147304099e-10,0.925
75,76,score_rf,5.087906992812978e-10,5.208209001424438e-10,0.924
76,77,score_rf,4.971688759130036e-10,5.087892787809217e-10,0.923
77,78,score_rf,4.86138378484833e-10,4.971670581524821e-10,0.922
78,79,score_rf,4.753792260829922e-10,4.861382260571009e-10,0.921
79,80,score_rf,4.6500878429013195e-10,4.753774422428943e-10,0.92
80,81,score_rf,4.5496567610394356e-10,4.6500800849032187e-10,0.919
81,82,score_rf,4.4514188148140166e-10,4.5496449918739357e-10,0.918
82,83,score_rf,4.357147171790106e-10,4.4514018366268596e-10,0.917
83,84,score_rf,4.265492459103578e-10,4.357142160007304e-10,0.916
84,85,score_rf,4.178025340199014e-10,4.265490863942361e-10,0.915
85,86,score_rf,4.0919041723505463e-10,4.178011555950442e-10,0.914
86,87,score_rf,4.0095969196283843e-10,4.0919005993303675e-10,0.913
87,88,score_rf,3.9288906375308835e-10,4.009595419956843e-10,0.912
88,89,score_rf,3.851140097835557e-10,3.928874219875857e-10,0.911
89,90,score_rf,3.776226565784213e-10,3.851133907408219e-10,0.91
90,91,score_rf,3.7030763473836996e-10,3.776225893578968e-10,0.909
91,92,score_rf,3.632040350197751e-10,3.70307458819707e-10,0.908
92,93,score_rf,3.563376584471117e-10,3.632037719922144e-10,0.907
93,94,score_rf,3.4965022948897787e-10,3.563374225770686e-10,0.906
94,95,score_rf,3.4312155870295337e-10,3.4964998285863817e-10,0.905
95,96,score_rf,3.367803304228784e-10,3.431204649257394e-10,0.904
96,97,score_rf,3.306601774959458e-10,3.367803244704754e-10,0.903
97,98,score_rf,3.2463336939875634e-10,3.3065999586106715e-10,0.902
98,99,score_rf,3.187761890365432e-10,3.246329649322368e-10,0.901
99,100,score_rf,3.1307340884477525e-10,3.1877543577220696e-10,0.9
100,101,score_rf,3.075140376864557e-10,3.130727072175496e-10,0.899
101,102,score_rf,3.0210648688653346e-10,3.075134716187221e-10,0.898
102,103,score_rf,2.968546507719419e-10,3.021062246034558e-10,0.897
103,104,score_rf,2.917353226610233e-10,2.9685445350730405e-10,0.896
104,105,score_rf,2.8680186234754147e-10,2.917352884020235e-10,0.895
105,106,score_rf,2.819416089623309e-10,2.8680156417773054e-10,0.894
106,107,score_rf,2.7726429639855204e-10,2.819409477720058e-10,0.893
107,108,score_rf,2.7271057044605424e-10,2.7726397681254205e-10,0.892
108,109,score_rf,2.6818012125982545e-10,2.7271028795710246e-10,0.891
109,110,score_rf,2.6379623833033367e-10,2.6817995951417343e-10,0.89
110,111,score_rf,2.5954751485089024e-10,2.6379584521638177e-10,0.889
111,112,score_rf,2.553595112641529e-10,2.595470006054599e-10,0.888
112,113,score_rf,2.5130539037660776e-10,2.5535943667780626e-10,0.887
113,114,score_rf,2.4731653301158494e-10,2.5130535915527364e-10,0.886
114,115,score_rf,2.4339357377941516e-10,2.4731629313631624e-10,0.885
115,116,score_rf,2.395798425207241e-10,2.4339319478557053e-10,0.884
116,117,score_rf,2.3583805285711335e-10,2.395797655926211e-10,0.883
117,118,score_rf,2.3225055870270665e-10,2.3583754389621035e-10,0.882
118,119,score_rf,2.287201678150343e-10,2.3225037544675732e-10,0.881
119,120,score_rf,2.252312783282899e-10,2.287200294103526e-10,0.88
120,121,score_rf,2.2186984185313034e-10,2.2523114781153263e-10,0.879
121,122,score_rf,2.1854167663893603e-10,2.2186975723727326e-10,0.878
122,123,score_rf,2.152753695624481e-10,2.1854155054977348e-10,0.877
123,124,score_rf,2.1212574687752224e-10,2.1527529367873524e-10,0.876
124,125,score_rf,2.0903453549251325e-10,2.1212564971500495e-10,0.875
125,126,score_rf,2.0596844939620045e-10,2.0903447997739256e-10,0.874
126,127,score_rf,2.0305489994306924e-10,2.0596829171321305e-10,0.873
127,128,score_rf,2.0013266331642094e-10,2.03054616363336e-10,0.872
128,129,score_rf,1.9728547654809713e-10,2.0013229362027936e-10,0.871
129,130,score_rf,1.945075331250219e-10,1.972848908652288e-10,0.87
130,131,score_rf,1.9178146151254134e-10,1.9450750482046718e-10,0.869
131,132,score_rf,1.8909050838701193e-10,1.917814582833433e-10,0.868
132,133,score_rf,1.864860753798738e-10,1.8909044157783524e-10,0.867
133,134,score_rf,1.8394542337493835e-10,1.8648601350878007e-10,0.866
134,135,score_rf,1.814423755759337e-10,1.8394540323238818e-10,0.865
135,136,score_rf,1.7897513653560647e-10,1.8144232586615122e-10,0.864
136,137,score_rf,1.7655313702460893e-10,1.7897492854152496e-10,0.863
137,138,score_rf,1.7421966601603282e-10,1.765529407406166e-10,0.862
138,139,score_rf,1.718703131196094e-10,1.7421965445681687e-10,0.861
139,140,score_rf,1.6958858478577892e-10,1.718702301455343e-10,0.86
140,141,score_rf,1.6737357593838139e-10,1.6958831900192966e-10,0.859
141,142,score_rf,1.6518434367317698e-10,1.6737351561593609e-10,0.858
142,143,score_rf,1.6302521851419346e-10,1.6518429546218143e-10,0.857
143,144,score_rf,1.6094999831742142e-10,1.630250998870823e-10,0.856
144,145,score_rf,1.589004827187379e-10,1.6094993280368332e-10,0.855
145,146,score_rf,1.5688125541465157e-10,1.589001891805596e-10,0.854
146,147,score_rf,1.5488238129146597e-10,1.5688124301924162e-10,0.853
147,148,score_rf,1.5293361120928244e-10,1.5488201953525712e-10,0.852
148,149,score_rf,1.5102166786189847e-10,1.529335168526066e-10,0.851
149,150,score_rf,1.4916371068544643e-10,1.5102162745220486e-10,0.85
150,151,score_rf,1.472959102839825e-10,1.491636321645588e-10,0.849
151,152,score_rf,1.454665004315743e-10,1.472958396525755e-10,0.848
152,153,score_rf,1.4369061494613449e-10,1.4546650010950042e-10,0.847
153,154,score_rf,1.4192102147270438e-10,1.4369048879434624e-10,0.846
154,155,score_rf,1.4016804122726613e-10,1.4192087539940088e-10,0.845
155,156,score_rf,1.3845850304649306e-10,1.4016790625813242e-10,0.844
156,157,score_rf,1.368007404924052e-10,1.3845847438795155e-10,0.843
157,158,score_rf,1.3517239337352143e-10,1.3680069459184125e-10,0.842
158,159,score_rf,1.3356131353175079e-10,1.351723537918306e-10,0.841
159,160,score_rf,1.3198502649288654e-10,1.3356113687204858e-10,0.84
160,161,score_rf,1.3041898666413574e-10,1.3198499316505316e-10,0.839
161,162,score_rf,1.2889264997843152e-10,1.3041892464306556e-10,0.838
162,163,score_rf,1.2737364516408867e-10,1.2889231754591746e-10,0.837
163,164,score_rf,1.2589901354597838e-10,1.2737342654353438e-10,0.836
164,165,score_rf,1.2443294134023264e-10,1.2589898588550494e-10,0.835
165,166,score_rf,1.2301319076616647e-10,1.2443266005561266e-10,0.834
166,167,score_rf,1.216187637283129e-10,1.2301286908959616e-10,0.833
167,168,score_rf,1.202473998062175e-10,1.2161864705560798e-10,0.832
168,169,score_rf,1.1888963165422815e-10,1.2024725317813204e-10,0.831
169,170,score_rf,1.1756287760861556e-10,1.1888943824506812e-10,0.83
170,171,score_rf,1.162411909498566e-10,1.175627360969662e-10,0.829
171,172,score_rf,1.1494107578087389e-10,1.1624113247188038e-10,0.8280000000000001
172,173,score_rf,1.1367893065586338e-10,1.1494102183742529e-10,0.827
173,174,score_rf,1.1241431823627278e-10,1.1367886801155664e-10,0.8260000000000001
174,175,score_rf,1.1119697027868504e-10,1.1241426449028934e-10,0.825
175,176,score_rf,1.0998421315266834e-10,1.1119695654601439e-10,0.8240000000000001
176,177,score_rf,1.0879503231292004e-10,1.0998420330957731e-10,0.823
177,178,score_rf,1.0762667298099614e-10,1.0879502463442584e-10,0.8220000000000001
178,179,score_rf,1.064632748995118e-10,1.0762663338168503e-10,0.821
179,180,score_rf,1.0534223762355135e-10,1.064632440739977e-10,0.8200000000000001
180,181,score_rf,1.042203671118598e-10,1.0534208645999854e-10,0.819
181,182,score_rf,1.0310444091892662e-10,1.0422036042249514e-10,0.8180000000000001
182,183,score_rf,1.0202058587336098e-10,1.0310430320225179e-10,0.817
183,184,score_rf,1.0095313533887445e-10,1.0202053966941082e-10,0.8160000000000001
184,185,score_rf,9.988622921144018e-11,1.0095306260946056e-10,0.815
185,186,score_rf,9.883606580955349e-11,9.9886170969804e-11,0.8140000000000001
186,187,score_rf,9.779885354463378e-11,9.883604595871617e-11,0.813
187,188,score_rf,9.679564924878706e-11,9.779880776344234e-11,0.812
188,189,score_rf,9.580518746625656e-11,9.679563232180295e-11,0.8109999999999999
189,190,score_rf,9.482032195585912e-11,9.580517945724616e-11,0.81
190,191,score_rf,9.385137794766654e-11,9.482030657200121e-11,0.8089999999999999
191,192,score_rf,9.289242824867712e-11,9.385130587473838e-11,0.808
192,193,score_rf,9.195912123827866e-11,9.289241035701717e-11,0.8069999999999999
193,194,score_rf,9.104366078525072e-11,9.195904378152207e-11,0.806
194,195,score_rf,9.012802758565241e-11,9.104361947058466e-11,0.8049999999999999
195,196,score_rf,8.921086293529388e-11,9.012794639425489e-11,0.804
196,197,score_rf,8.83205041697734e-11,8.921085209598283e-11,0.8029999999999999
197,198,score_rf,8.743947253235888e-11,8.832049170045179e-11,0.802
198,199,score_rf,8.657638871860787e-11,8.743945651545072e-11,0.8009999999999999
199,200,score_rf,8.572508698014753e-11,8.657635319469329e-11,0.8
200,201,score_rf,8.487992053068155e-11,8.572504828608364e-11,0.7989999999999999
201,202,score_rf,8.405714771936334e-11,8.487990385552046e-11,0.798
202,203,score_rf,8.323736761096946e-11,8.405712239641222e-11,0.7969999999999999
203,204,score_rf,8.243428786319556e-11,8.323729891003456e-11,0.796
204,205,score_rf,8.163293088142772e-11,8.243424191985828e-11,0.795
205,206,score_rf,8.085464530668684e-11,8.163290850997115e-11,0.794
206,207,score_rf,8.006495354331592e-11,8.085461341191325e-11,0.793
207,208,score_rf,7.930278513669051e-11,8.006493315329125e-11,0.792
208,209,score_rf,7.854216045996296e-11,7.930276903334937e-11,0.791
209,210,score_rf,7.780825313489859e-11,7.854200024432498e-11,0.79
210,211,score_rf,7.707871124476819e-11,7.780820191395863e-11,0.789
211,212,score_rf,7.635114321057084e-11,7.707866951281869e-11,0.788
212,213,score_rf,7.563797635051455e-11,7.635110101002144e-11,0.787
213,214,score_rf,7.493932444518665e-11,7.563788481464345e-11,0.786
214,215,score_rf,7.42337519609542e-11,7.49392830738005e-11,0.785
215,216,score_rf,7.354588404201061e-11,7.423346810232636e-11,0.784
216,217,score_rf,7.286007263416298e-11,7.354587888353694e-11,0.783
217,218,score_rf,7.21907012286826e-11,7.286002365680572e-11,0.782
218,219,score_rf,7.151828294162416e-11,7.219060827263935e-11,0.781
219,220,score_rf,7.086644086870226e-11,7.15182720347743e-11,0.78
220,221,score_rf,7.021678029467413e-11,7.086643661503127e-11,0.779
221,222,score_rf,6.958903964841898e-11,7.021676648752107e-11,0.778
222,223,score_rf,6.896159337889332e-11,6.958901216547159e-11,0.777
223,224,score_rf,6.833697535405195e-11,6.896157429111987e-11,0.776
224,225,score_rf,6.772516349549418e-11,6.833696302242311e-11,0.775
225,226,score_rf,6.71206212180787e-11,6.772515488936906e-11,0.774
226,227,score_rf,6.652272798405739e-11,6.712060621986657e-11,0.773
227,228,score_rf,6.593208239316985e-11,6.652269261402736e-11,0.772
228,229,score_rf,6.534804750156814e-11,6.593204603094795e-11,0.771
229,230,score_rf,6.476476250266829e-11,6.53480124422781e-11,0.77
230,231,score_rf,6.420109137372096e-11,6.476475436747951e-11,0.769
231,232,score_rf,6.363641951886144e-11,6.420108951044744e-11,0.768
232,233,score_rf,6.307725283621204e-11,6.363639546750372e-11,0.767
233,234,score_rf,6.252886174933206e-11,6.307718310300945e-11,0.766
234,235,score_rf,6.198326884914615e-11,6.252884283575432e-11,0.765
235,236,score_rf,6.144480888577033e-11,6.198317904873175e-11,0.764
236,237,score_rf,6.091294547399925e-11,6.144475173615695e-11,0.763
237,238,score_rf,6.038423590866467e-11,6.091291954483449e-11,0.762
238,239,score_rf,5.986356552017497e-11,6.038420628387288e-11,0.761
239,240,score_rf,5.935324315304643e-11,5.98635627905334e-11,0.76
240,241,score_rf,5.884890519954206e-11,5.935323591667104e-11,0.759
241,242,score_rf,5.834926403320221e-11,5.884889495864674e-11,0.758
242,243,score_rf,5.784855877162195e-11,5.834917974886829e-11,0.757
243,244,score_rf,5.735561190915872e-11,5.784853550873647e-11,0.756
