payer_country_encoder,date,p10,p50,p90,mean
108,2023-06-15,0.0,0.0,0.0,17.541900215148925
108,2023-06-16,0.0,0.0,0.0,7.693300018310547
108,2023-06-17,0.0,0.0,0.0,16.62550018310547
108,2023-06-18,0.0,0.0,0.0,9.171900253295899
108,2023-06-19,0.0,0.0,0.0,58.38
108,2023-06-20,0.0,0.0,0.0,23.64030014038086
108,2023-06-21,0.0,0.0,0.0,30.93010009765625
108,2023-06-22,0.0,0.0,0.0,27.603400573730468
108,2023-06-23,0.0,0.0,0.0,0.0
108,2023-06-24,0.0,0.0,0.0,5.350199890136719
108,2023-06-25,0.0,0.0,0.0,3.98
108,2023-06-26,0.0,0.0,0.0,31.41
108,2023-06-27,0.0,0.0,0.0,12.237000198364258
108,2023-06-28,0.0,0.0,0.0,26.210199966430665
108,2023-06-29,0.0,0.0,0.0,24.93830066680908
108,2023-06-30,0.0,0.0,0.0,14.2975
108,2023-07-01,0.0,0.0,0.0,18.45060012817383
108,2023-07-02,0.0,0.0,0.0,8.42510009765625
108,2023-07-03,0.0,0.0,0.0,57.25020008087158
108,2023-07-04,0.0,0.0,0.0,53.47360000610352
108,2023-07-05,0.0,0.0,0.0,26.890199928283693
108,2023-07-06,0.0,0.0,0.0,19.92990020751953
108,2023-07-07,0.0,0.0,0.0,3.92510009765625
108,2023-07-08,0.0,0.0,0.0,11.625499877929688
108,2023-07-09,0.0,0.0,0.0,22.62550033569336
123,2023-04-01,0.0,0.0,1290.0,368.25
123,2023-04-02,0.0,0.0,700.0,198.4
123,2023-04-03,0.0,0.0,2100.0,613.2824995422363
123,2023-04-04,0.0,0.0,2500.0,610.6186987304687
123,2023-04-05,0.0,0.0,2500.0,577.9382006835938
123,2023-04-06,0.0,0.0,1100.0,358.3000999450684
123,2023-04-07,0.0,0.0,1100.0,336.4506002807617
123,2023-04-08,0.0,0.0,700.0,204.35
123,2023-04-09,0.0,0.0,400.0,124.1
123,2023-04-10,0.0,0.0,2050.0,752.3725
123,2023-04-11,0.0,0.0,2500.489990234375,627.0892992401123
123,2023-04-12,0.0,0.0,2700.0,745.5
123,2023-04-13,0.0,0.0,1401.0,318.6884996032715
123,2023-04-14,0.0,0.0,1100.0,366.40040008544923
123,2023-04-15,0.0,0.0,900.0,212.9
123,2023-04-16,0.0,0.0,450.0,148.2
123,2023-04-17,0.0,0.0,2500.0,593.1323997497559
123,2023-04-18,0.0,0.0,1900.0,534.674199142456
123,2023-04-19,0.0,0.0,2000.0,569.11
123,2023-04-20,0.0,0.0,1500.0,437.7103002929687
123,2023-04-21,0.0,0.0,1800.0,414.1
123,2023-04-22,0.0,0.0,1300.0,371.75
123,2023-04-23,0.0,0.0,500.0,133.4
123,2023-04-24,0.0,0.0,2000.0,442.0190985107422
123,2023-04-25,0.0,0.0,2400.0,593.3605981445312
123,2023-04-26,0.0,0.0,2000.0,526.4426000976563
123,2023-04-27,0.0,0.0,1100.0,262.45
123,2023-04-28,0.0,0.0,1150.0,403.65009994506835
123,2023-04-29,0.0,0.0,900.0,204.1
123,2023-04-30,0.0,0.0,100.0,122.4
123,2023-05-01,0.0,0.0,2500.489990234375,820.2821997070313
123,2023-05-02,0.0,0.0,2660.0,641.7782981872558
123,2023-05-03,0.0,0.0,2000.0,520.76
123,2023-05-04,0.0,0.0,2500.0,589.71
123,2023-05-05,0.0,0.0,1800.0,392.50010009765623
123,2023-05-06,0.0,0.0,1000.0,257.17829956054686
123,2023-05-07,0.0,0.0,200.0,100.4
123,2023-05-08,0.0,0.0,2500.489990234375,706.1729978942872
123,2023-05-09,0.0,0.0,3392.820068359375,895.84240234375
123,2023-05-10,0.0,0.0,2200.0,523.8301000976562
123,2023-05-11,0.0,0.0,1100.0,294.68010009765624
123,2023-05-12,0.0,0.0,2000.0,489.0
123,2023-05-13,0.0,0.0,250.0,94.0
123,2023-05-14,0.0,0.0,400.0,112.25009994506836
123,2023-05-15,0.0,0.0,2400.0,719.3496995544433
123,2023-05-16,0.0,0.0,2750.0,676.9846996307373
123,2023-05-17,0.0,0.0,997.0,386.58010009765627
123,2023-05-18,0.0,0.0,1500.0,419.22010009765626
123,2023-05-19,0.0,0.0,1200.0,395.5
123,2023-05-20,0.0,0.0,900.0,239.60009994506837
123,2023-05-21,0.0,0.0,700.0,188.8
123,2023-05-22,0.0,0.0,2200.0,685.7001000976562
123,2023-05-23,0.0,0.0,1800.0,501.0069993591309
123,2023-05-24,0.0,0.0,1650.0,469.81010009765623
123,2023-05-25,0.0,0.0,1800.0,430.6504002380371
123,2023-05-26,0.0,0.0,1600.0,408.100299987793
123,2023-05-27,0.0,0.0,1300.0,337.85
123,2023-05-28,0.0,0.0,500.0,135.75
123,2023-05-29,0.0,0.0,2500.489990234375,786.6883006286621
123,2023-05-30,0.0,0.0,2660.0,648.7333005523682
123,2023-05-31,0.0,0.0,2000.0,626.4956982421875
123,2023-06-01,0.0,0.0,1850.0,438.15
123,2023-06-02,0.0,0.0,1100.0,244.45
123,2023-06-03,0.0,0.0,1000.0,261.0
123,2023-06-04,0.0,0.0,450.0,127.6
123,2023-06-05,0.0,0.0,2250.0,682.649899597168
123,2023-06-06,0.0,0.0,2000.0,651.7883959960938
123,2023-06-07,0.0,0.0,1401.0,430.43010009765624
123,2023-06-08,0.0,0.0,1800.0,436.21
123,2023-06-09,0.0,0.0,400.0,227.01
123,2023-06-10,0.0,0.0,1000.0,338.95
123,2023-06-11,0.0,0.0,900.0,179.7
123,2023-06-12,0.0,0.0,2500.489990234375,614.6149998474122
123,2023-06-13,0.0,0.0,2202.22998046875,614.8902977752686
123,2023-06-14,0.0,0.0,2300.0,676.2282006835937
123,2023-06-15,0.0,0.0,2700.0,521.337197265625
123,2023-06-16,0.0,0.0,1800.0,495.22009994506834
123,2023-06-17,0.0,0.0,900.0,311.3
123,2023-06-18,0.0,0.0,450.0,132.00010009765626
123,2023-06-19,0.0,0.0,1580.0,335.1681980895996
123,2023-06-20,0.0,0.0,2660.0,683.3194970703125
123,2023-06-21,0.0,0.0,1100.0,429.65010009765626
123,2023-06-22,0.0,0.0,2700.0,588.32
123,2023-06-23,0.0,0.0,1477.8299560546875,287.75659912109376
123,2023-06-24,0.0,0.0,1860.0,416.1
123,2023-06-25,0.0,0.0,900.0,253.0
123,2023-06-26,0.0,0.0,2500.489990234375,712.6055979919433
123,2023-06-27,0.0,0.0,2400.0,622.0423971557617
123,2023-06-28,0.0,0.0,2000.0,403.41
123,2023-06-29,0.0,0.0,1800.0,438.6382995605469
123,2023-06-30,0.0,0.0,1401.0,383.6102001953125
123,2023-07-01,0.0,0.0,1290.0,332.4
123,2023-07-02,0.0,0.0,700.0,157.5
123,2023-07-03,0.0,0.0,3100.0,970.9773998260498
123,2023-07-04,0.0,0.0,2850.0,709.9217015838623
123,2023-07-05,0.0,0.0,1650.0,454.8
123,2023-07-06,0.0,0.0,990.0,242.53830078125
123,2023-07-07,0.0,0.0,1100.0,316.60030014038085
123,2023-07-08,0.0,0.0,1300.0,272.55010009765624
123,2023-07-09,0.0,0.0,340.0,116.00009994506836
128,2023-04-01,0.0,0.0,793.0,161.0765000152588
128,2023-04-02,0.0,0.0,277.0,121.48
128,2023-04-03,0.0,0.0,442.0,154.61629974365235
128,2023-04-04,0.0,0.0,590.0,170.1575
128,2023-04-05,0.0,0.0,561.0,188.72
128,2023-04-06,0.0,0.0,600.0,180.59
128,2023-04-07,0.0,0.0,780.0,177.19
128,2023-04-08,0.0,0.0,381.0,121.79300003051758
128,2023-04-09,0.0,0.0,930.0,178.91
128,2023-04-10,0.0,0.0,590.0,136.26480072021485
128,2023-04-11,0.0,0.0,842.0,223.24
128,2023-04-12,0.0,0.0,752.0,213.9516000366211
128,2023-04-13,0.0,0.0,586.0,192.39
128,2023-04-14,0.0,0.0,453.0,136.88
128,2023-04-15,0.0,0.0,440.0,151.0465000152588
128,2023-04-16,0.0,0.0,1000.0,225.57
128,2023-04-17,0.0,0.0,800.0,236.6283999633789
128,2023-04-18,0.0,0.0,639.0,158.57
128,2023-04-19,0.0,0.0,820.0,190.57
128,2023-04-20,0.0,0.0,790.0,214.34
128,2023-04-21,0.0,0.0,552.0,176.75
128,2023-04-22,0.0,0.0,597.0,142.16
